upc,name,description,department,department_number,category,manufacturer,brand,is_active,cost,price,vendor,part_num,part_num_units,part_cost,child_upc,num_units
028200138606,MARLBORO 72 BX SILVER (ULT) FSC CTN,,,,CIGARETTES > PM > MARLBORO72'S > CIG CARTONS,,,,79.7300,0,,,,,,
028200142207,MARLBORO SPECIAL BLEND GOLD 85 BX CTN,,,,CIGARETTES > PM > MARLBOROSPECIAL SELECT > CIG CARTONS,,,,79.7300,0,,,,,,
028200156501,MARLBORO SPECIAL BLEND RED 85 BX CTN,,,,CIGARETTES > PM > MARLBOROSPECIAL SELECT > CIG CARTONS,,,,79.7300,0,,,,,,
028200195401,MARLBORO SP BL M BLK 85 BX CTN,,,,CIGARETTES > PM > MARLBORO BLACK > CIG CARTONS,,,,75.2300,0,,,,,,
028200195203,MARLBORO SPECIAL BLEND BLACK 85 BX CTN,,,,CIGARETTES > PM > MARLBORO BLACK > CIG CARTONS,,,,75.2300,0,,,,,,
028200148100,MARLBORO M 85 BX SILVER (ULT) FSC CTN,,,,CIGARETTES > PM > MARLBORO > CIG CARTONS,,,,83.2300,0,,,,,,
028200135704,MARLBORO 85 BX FSC CTN,,,,CIGARETTES > PM > MARLBORO > CIG CARTONS,,,,79.7300,0,,,,,,
028200136800,MARLBORO (MED) 85 RED BX FSC CTN,,,,CIGARETTES > PM > MARLBORO > CIG CARTONS,,,,79.7300,0,,,,,,
028200138408,MARLBORO 85 BX GOLD (LT) FSC CTN,,,,CIGARETTES > PM > MARLBORO > CIG CARTONS,,,,79.7300,0,,,,,,
028200147707,MARLBORO 85 BX SILVER (ULT) FSC CTN,,,,CIGARETTES > PM > MARLBORO > CIG CARTONS,,,,79.7300,0,,,,,,
028200136107,MARLBORO M 85 BX FSC CTN,,,,CIGARETTES > PM > MARLBORO > CIG CARTONS,,,,83.2300,0,,,,,,
028200140104,MARLBORO M 85 BX GOLD (LT) FSC CTN,,,,CIGARETTES > PM > MARLBORO > CIG CARTONS,,,,83.2300,0,,,,,,
028200135803,MARLBORO 85 FSC CTN,,,,CIGARETTES > PM > MARLBORO > CIG CARTONS,,,,79.7300,0,,,,,,
028200142405,MARLBORO SOUTHERN CUT 8 5,,,,CIGARETTES > PM > MARLBORO > CIG CARTONS,,,,79.7300,0,,,,,,
028200301710,MERIT 85 BX BLUE (ULT),,,,CIGARETTES > PM > PMP > CIG CARTONS,,,,106.7400,110.75,,,,,,
028200179203,PARLIAMENT 85 BX BLUE (FF) FSC CTN,,,,CIGARETTES > PM > PARLIAMENT > CIG CARTONS,,,,94.5800,79.5,,,,,,
028200178404,PARLIAMENT 85 BX WHITE (LT) FSC CTN,,,,CIGARETTES > PM > PARLIAMENT > CIG CARTONS,,,,94.5800,79.5,,,,,,
